Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr20	50690903	50692292	1390	12	Open sea	Bivalent/Poised TSS;Weak Repressed PolyComb	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Bivalent Enhancer;Repressed PolyComb	FAM65C	0.0092	0.00545833333333333	5.75728766780721e-16	0.00157855343792153	7.11438430410512e-15
chr10	5945698	5946312	615	7	Open sea	Flanking Active TSS	Active TSS;Enhancers	RP11-536K7.3;IL15RA	0.008	0.00531428571428571	1.72706773571009e-14	7.58964341366391e-08	7.25095572847008e-15
chr17	75504657	75505956	1300	7	Shore;Island	Genic enhancers;Strong transcription	Enhancers;Genic enhancers;Strong transcription	CASKIN2	-0.0056	-0.0029	5.97651273398795e-12	4.03327240465982e-08	7.32280768592298e-15
chr8	123652775	123653882	1108	5	Open sea	Transcr. at gene 5' and 3';Active TSS	Flanking Active TSS;Active TSS	KLHL38;CTD-2552K11.2	-0.0088	-0.00422	6.73783581841262e-11	9.50713999858497e-13	7.40897614193678e-15
chr7	159105901	159106200	300	3	Open sea	Enhancers	Enhancers	VIPR2	-0.0152	-0.0088	5.01681439798855e-14	2.52599373763155e-09	7.42873737533754e-15
chr11	72308780	72309659	880	4	Open sea	Strong transcription;Weak transcription	Weak transcription	CLPB	0.0063	0.00435	4.74816543395225e-12	9.31305360024065e-11	7.43736913574947e-15
chr14	59919276	59920960	1685	12	Shore;Island	Flanking Active TSS;Active TSS;Quiescent/Low	Active TSS;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Repressed PolyComb;Weak Repressed PolyComb	LRRC9;RP11-62H20.1	0.0056	0.00166666666666667	2.34071073951735e-07	2.26744554260363e-08	7.47005496623903e-15
chr1	160114472	160115777	1306	7	Open sea	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	ATP1A2	-0.0063	-0.00324285714285714	1.85680357254045e-11	4.35060497159796e-12	7.67437253444749e-15
chr7	4733996	4735646	1651	6	Open sea	Genic enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS;Active TSS	FOXK1	-0.0069	-0.0033	1.09935397945766e-14	1.09620412917805e-07	7.75094001980901e-15
chr17	67056091	67057067	977	4	Open sea	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS;Enhancers	Transcr. at gene 5' and 3';Flanking Active TSS	CACNG1	-0.0068	-0.004275	5.5901219178016e-14	9.8770173831173e-10	7.82849005545532e-15
chr11	2532967	2534345	1379	10	Island;Shore	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Repressed PolyComb	Flanking Active TSS;Enhancers	KCNQ1	0.0045	0.00178	3.24702850215162e-12	1.14708375706173e-05	7.83749129944276e-15
chr5	16737862	16738613	752	6	Open sea	Quiescent/Low	Weak transcription	MYO10	0.0055	0.00375	1.33311239104256e-14	1.40256286752302e-06	7.91238020873563e-15
chr22	46617957	46618544	588	3	Shore;Island	Enhancers	Enhancers	GRAMD4	0.0087	0.0062	3.94803924983277e-12	8.16141173331915e-12	7.96775936017344e-15
chr18	50663167	50664965	1799	7	Shore;Island	Enhancers	Enhancers		-0.0097	-0.00561428571428571	3.12937614239875e-14	2.52993588490585e-05	8.08755672306392e-15
chr1	1752298	1752655	358	5	Shore	Weak transcription	Strong transcription	NADK	0.0082	0.00614	1.41068333202345e-14	3.09467080937201e-07	8.08929083528051e-15
chr17	63939552	63939927	376	2	Shelf;Shore	Genic enhancers	Strong transcription	SCN4A	-0.0093	-0.00535	2.17866346738152e-09	1.1765098e-15	8.36722050553708e-15
chr7	155456952	155458344	1393	12	Island	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	AC008060.8;EN2	0.0083	0.00248333333333333	6.80004780628452e-08	1.28015694295872e-07	8.38753155675574e-15
chr9	35563314	35565264	1951	10	Open sea	Transcr. at gene 5' and 3';Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers	FAM166B	-0.009	-0.00341	1.098801935286e-07	5.55886666197569e-09	8.45450755449048e-15
chr14	103941853	103943299	1447	7	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	RD3L;TDRD9	-0.0084	-0.00417142857142857	9.34534339265525e-14	4.15759272632187e-05	8.84000388098696e-15
chr1	28078852	28079292	441	2	Open sea	Enhancers	Enhancers	EYA3	-0.0095	-0.00845	3.51039087265852e-15	1.00898608151599e-09	8.91831580448554e-15
chr7	1912881	1913170	290	4	Shelf	Enhancers	Enhancers		0.0055	0.004175	1.70214674898088e-15	3.38543013671291e-07	8.93202102566521e-15
chr19	10923281	10924220	940	3	Shore;Shelf	Genic enhancers	Genic enhancers		-0.0126	-0.0062	3.24943648861424e-13	3.83374799377816e-12	8.9964544828961e-15
chr1	45340828	45341541	714	4	Shore	Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers	Flanking Active TSS;Genic enhancers	TOE1;MUTYH;MMACHC	-0.0066	-0.0036	2.51696228796815e-12	1.91253719954112e-12	9.17931854242855e-15
chr2	63876443	63876473	31	2	Open sea	Enhancers	Enhancers	UGP2	-0.0097	-0.00825	2.83770023598219e-15	5.40408950010524e-09	9.33777431350719e-15
chr17	70175134	70176429	1296	4	Open sea	Strong transcription;Genic enhancers	Genic enhancers;Transcr. at gene 5' and 3'	KCNJ2	-0.011	-0.008325	7.3470391250017e-16	8.72911182258006e-06	9.35150691272268e-15
chr8	127937936	127938405	470	3	Open sea	Enhancers;Weak transcription	Weak transcription	PVT1	0.0067	0.00616666666666667	4.39113424239519e-15	9.79683705935504e-09	9.54103530923688e-15
chr14	23365598	23366837	1240	12	Island;Shore	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Bivalent Enhancer	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	EFS	0.0062	0.00329166666666667	1.67576810066366e-13	2.18452165647293e-06	9.77996938704889e-15
chr6	35522386	35523040	655	4	Open sea	Enhancers;Flanking Active TSS	Quiescent/Low;Enhancers;Flanking Active TSS		0.0091	0.0038	3.083422487183e-06	2.54338425312853e-12	9.85758195189504e-15
chr14	54562162	54562583	422	2	Shelf	Quiescent/Low	Quiescent/Low		-0.0075	-0.00535	4.90702708692914e-15	4.24666008045796e-10	9.99607902171918e-15
chr4	133147621	133149285	1665	12	Shore;Island	Bivalent Enhancer;Flanking Bivalent TSS/Enh	Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	RP11-9G1.3;PCDH10	0.0078	0.002475	7.75250976619911e-07	1.85173559999764e-15	1.00528452801813e-14
chr1	193105298	193106500	1203	12	Island;Shore	Active TSS;Flanking Active TSS;Quiescent/Low	Active TSS;Flanking Active TSS;Enhancers;Weak transcription	GLRX2	-0.0078	-0.0018	0.00354206322913663	5.54107683379872e-14	1.00990381700158e-14
chr12	53738301	53738783	483	6	Shore;Island	Repressed PolyComb	Repressed PolyComb		0.0056	0.00453333333333333	7.695842263021e-15	2.56007872769863e-05	1.015682158278e-14
chr16	30090358	30092720	2363	17	Shore;Island	Enhancers;Flanking Active TSS	Weak transcription;Enhancers;Flanking Active TSS	TBX6;YPEL3	-0.0066	0.000276470588235294	6.54863288161532e-06	6.6458414676389e-06	1.03961837328109e-14
chr1	3703653	3704880	1228	6	Shelf;Shore	Bivalent Enhancer;Repressed PolyComb	Weak Repressed PolyComb	TP73	0.0063	0.00323333333333333	3.62861185287863e-12	1.37654271484668e-08	1.0438467043309e-14
chr19	47277969	47278025	57	2	Shelf	Enhancers	Enhancers		-0.0072	-0.00485	3.90207646902491e-11	7.32023399999966e-15	1.04841087501916e-14
chr16	24845469	24846279	811	12	Open sea	Weak transcription	Weak transcription	SLC5A11	0.0078	0.00468333333333333	7.22228099207211e-12	0.000385765738672402	1.05032602150583e-14
chr1	7983137	7983718	582	3	Open sea	Genic enhancers	Genic enhancers		-0.0129	-0.0059	4.46165111736962e-11	1.38203442076235e-11	1.0533139497556e-14
chr10	96980712	96981816	1105	13	Open sea	Weak transcription;Strong transcription	Weak transcription;Strong transcription	C10orf12;LCOR	-0.0111	-0.00156153846153846	0.000713647796461108	3.0639154e-20	1.07840839051777e-14
chr12	53990881	53991840	960	8	Shelf	Flanking Active TSS	Flanking Active TSS	RP11-834C11.12;MIR196A2;HOXC6	0.0059	0.0009625	3.72961079027973e-07	1.07387656567567e-07	1.08443184436166e-14
chr7	75966702	75967781	1080	7	Open sea	Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers	POR;SNORA14A	0.0062	0.000857142857142857	1.67716398110084e-14	2.04864327353628e-06	1.08457884757715e-14
chr4	1673844	1673867	24	2	Open sea	Enhancers	Quiescent/Low	FAM53A	0.0082	0.0067	2.90819291158496e-14	7.47506565005937e-12	1.09654330146896e-14
chr15	99175299	99176234	936	3	Open sea	Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers	TTC23	-0.008	-0.00576666666666667	6.05921500801776e-14	2.4265008474379e-08	1.09992561529869e-14
chr11	3051062	3052210	1149	4	Open sea	Enhancers;Flanking Active TSS	Enhancers	CARS	0.0063	0.005125	1.1981134870245e-15	3.56546302755987e-06	1.10785626853578e-14
chr22	17949597	17949742	146	2	Open sea	Enhancers	Enhancers	MICAL3	-0.0095	-0.00765	7.15669073686106e-15	1.84369102975803e-10	1.11596678755351e-14
chr12	110689333	110690441	1109	11	Island;Shore	Active TSS;Flanking Active TSS;Enhancers;Weak transcription	Active TSS;Flanking Bivalent TSS/Enh;Bivalent Enhancer;Weak Repressed PolyComb	HVCN1;TCTN1	0.0063	0.00324545454545455	4.07897062370876e-14	1.54787399620363e-06	1.12488079610856e-14
chr2	201698051	201700316	2266	9	Open sea	Enhancers;Weak transcription	Weak transcription;Strong transcription	MPP4	0.0062	0.00354444444444444	2.66788633273874e-11	3.99493143263014e-07	1.13405246451519e-14
chr15	99438780	99439378	599	6	Open sea	Enhancers	Enhancers;Weak transcription	ENSG00000259341	0.0052	0.00438333333333333	1.50081439143596e-15	1.76427046031911e-05	1.15404382892539e-14
chr7	30751066	30752684	1619	8	Open sea	Flanking Active TSS	Flanking Active TSS;Enhancers	INMT-FAM188B;INMT	0.006	0.0026	9.12169202104221e-13	1.15951708797805e-06	1.15480010709421e-14
chrX	139203230	139204132	903	7	Island	Flanking Active TSS;Active TSS	Active TSS;Flanking Active TSS	FGF13	0.009	0.0062	6.14594674998781e-15	1.95809302416175e-06	1.15659842308302e-14
chr12	67662387	67663216	830	2	Open sea	Enhancers	Enhancers		-0.0067	-0.00575	1.01531483695529e-13	1.29361339830031e-12	1.16802236381118e-14
chr17	49887432	49887515	84	3	Shelf	Repressed PolyComb;Bivalent Enhancer	Repressed PolyComb	RP11-304F15.4	0.0067	0.00466666666666667	1.06716035702862e-14	1.18782074511714e-09	1.17395831729482e-14
chr8	143592329	143594790	2462	8	Shore;Island	Genic enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	EEF1D	-0.0082	-0.0038625	6.2571835934772e-12	1.19939981140549e-07	1.18594624033828e-14
chr8	123506772	123507566	795	3	Open sea	Genic enhancers	Genic enhancers		-0.0118	-0.00666666666666667	6.93266023679491e-14	4.2496708711858e-11	1.18686578319965e-14
chr1	220881022	220882621	1600	13	Shore;Island	Active TSS;Transcr. at gene 5' and 3'	Active TSS;Flanking Active TSS;Transcr. at gene 5' and 3'	HLX-AS1;HLX	0.005	0.00278461538461538	3.1037328453932e-12	4.05253810597561e-05	1.18941590957578e-14
chr5	58457223	58459034	1812	7	Shelf;Shore	Transcr. at gene 5' and 3';Active TSS;Flanking Active TSS	Transcr. at gene 5' and 3';Active TSS	PLK2	0.0059	0.00425714285714286	1.49200199300565e-15	1.80498622412682e-05	1.19647002735998e-14
chr2	98663850	98664499	650	3	Open sea	Weak transcription	Weak transcription	MGAT4A	-0.009	-0.0051	5.10900662299813e-11	7.46793664996942e-09	1.20097037977483e-14
chr12	57234870	57237903	3034	10	Shore;Island	Weak transcription;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Weak transcription;Bivalent Enhancer;Bivalent/Poised TSS	SHMT2;NDUFA4L2	0.0058	0.00299	3.45964795707452e-15	3.43124744662409e-05	1.20318491150188e-14
chr12	115451703	115453022	1320	4	Shore;Island	Flanking Active TSS;Active TSS;Bivalent Enhancer	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Repressed PolyComb		0.005	0.0036	2.80998963495369e-09	3.81788999996761e-14	1.20822741579767e-14
chr11	65320862	65321229	368	2	Open sea	Genic enhancers	Weak transcription;Genic enhancers	CDC42EP2	0.005	0.0045	7.57011177547743e-15	2.19988645651477e-10	1.22587449607255e-14
chr8	98823539	98824159	621	2	Shore	Weak transcription;Enhancers	Enhancers	STK3	-0.0077	-0.0065	1.51602068048903e-14	3.83618988222017e-11	1.25479345912318e-14
chr17	29620517	29621733	1217	4	Shore	Transcr. at gene 5' and 3'	Flanking Active TSS;Transcr. at gene 5' and 3'	ABHD15-AS1;CORO6;RP11-68I3.10	-0.0072	-0.004875	2.83345905454939e-13	2.01455163191033e-10	1.26449389737281e-14
chr14	75432233	75432242	10	2	Shelf	Genic enhancers	Genic enhancers	LOC101928377	-0.013	-0.00965	1.28911532586357e-13	1.11422579900045e-12	1.26630602523927e-14
chr16	920309	921185	877	5	Shore	Flanking Active TSS;Enhancers	Enhancers	LMF1;LMF1-AS1	0.0082	0.0043	4.53395540464862e-08	3.39948599997453e-14	1.27297002963342e-14
chr14	81205767	81205787	21	3	Open sea	Enhancers	Enhancers		-0.0109	-0.00863333333333333	1.67622218204326e-15	8.86815784312213e-07	1.27514912406216e-14
chr6	133888542	133889807	1266	13	Shore;Island	Weak Repressed PolyComb;Repressed PolyComb;Bivalent/Poised TSS	Repressed PolyComb;Bivalent/Poised TSS	TCF21;TARID	0.0053	0.00316923076923077	1.02075854366173e-13	7.11358308067398e-06	1.28986279168722e-14
chr22	19182595	19183584	990	3	Shelf;Open sea	Strong transcription	Genic enhancers;Strong transcription	CLTCL1	-0.0056	-0.0017	2.53784869775428e-13	1.60209866079359e-11	1.29066043775015e-14
chr7	1545722	1547359	1638	10	Shore	Weak transcription	Weak transcription	TMEM184A	0.0066	0.00238	1.45039328495049e-13	0.000198507222015063	1.29832371181501e-14
chr22	29720329	29721744	1416	8	Island;Shore	Repressed PolyComb	Weak Repressed PolyComb;Repressed PolyComb	CABP7;RP1-76B20.11;RP1-76B20.12	0.0093	0.0035375	4.58643257985829e-11	8.19224049515582e-08	1.32098708694195e-14
chr9	126833243	126833870	628	3	Island;Shore	Genic enhancers	Genic enhancers;Transcr. at gene 5' and 3'	ZBTB43	-0.009	-0.00626666666666667	1.63470634923747e-14	6.05225544316947e-08	1.33176770658857e-14
chr1	12478285	12479320	1036	7	Open sea	Flanking Active TSS;Enhancers	Enhancers;Flanking Active TSS	VPS13D;SNORA59A	-0.0109	-0.00357142857142857	8.15862461714508e-11	5.6183630998806e-13	1.33485856578531e-14
chr10	359241	359421	181	3	Open sea;Shelf	Strong transcription	Strong transcription	DIP2C	0.0052	0.00456666666666667	3.33532554547928e-15	4.73243034335777e-08	1.34416406231776e-14
chr2	241813194	241814152	959	6	Island;Shore	Bivalent Enhancer	Weak transcription;Enhancers	AC114730.3;NEU4	0.0102	0.00563333333333333	5.1150889219069e-14	1.99614708702217e-06	1.35412281153807e-14
chr17	7613541	7614378	838	12	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	FXR2;SHBG	-0.0061	-0.00203333333333333	4.94194692116225e-06	5.43390558800676e-08	1.36192644226089e-14
chr16	2275854	2276664	811	4	Open sea	Genic enhancers	Enhancers		-0.0058	-0.002125	1.37516970047601e-09	2.49057655906422e-11	1.37323939635789e-14
chr11	69449490	69449910	421	4	Open sea	Bivalent Enhancer;Flanking Bivalent TSS/Enh	Enhancers;Bivalent Enhancer		0.0147	0.008225	3.9105473229876e-13	4.66297985591612e-11	1.38125219639322e-14
chr1	117609198	117609206	9	2	Shelf	Enhancers	Active TSS	FAM46C	-0.0097	-0.0083	1.13568604159538e-13	1.56732539745666e-12	1.38175374122496e-14
chr13	102801377	102801825	449	2	Shore	Enhancers	Weak transcription;Enhancers	BIVM	-0.0121	-0.0065	1.04334079829548e-07	1.0075464e-15	1.38499485156515e-14
chr8	41725499	41726004	506	5	Shore;Island	Strong transcription	Weak transcription	ANK1	0.0069	0.00458	6.24426179128913e-16	3.20808890417883e-05	1.39443489012548e-14
chr1	114582561	114582773	213	3	Open sea	Enhancers	Active TSS;Weak transcription	BCAS2	-0.0122	-0.00543333333333333	1.30239623415902e-08	1.44384269983666e-13	1.40044793029039e-14
chr3	125147111	125147801	691	3	Open sea	Enhancers	Weak transcription;Enhancers	SLC12A8	0.0075	0.0063	4.31139296118507e-14	3.41720139776824e-10	1.42064933530658e-14
chr3	48967050	48967461	412	4	Open sea	Genic enhancers	Genic enhancers		-0.0089	-0.005275	7.89866283618817e-14	1.85483850706297e-09	1.4264230912992e-14
chr20	25193682	25194828	1147	5	Shore	Weak Repressed PolyComb	Weak transcription;Enhancers	ENTPD6	-0.0146	-0.0028	0.0017775983479729	2.5095215e-17	1.4291911754708e-14
chr9	19125655	19126295	641	2	Shore	Genic enhancers;Transcr. at gene 5' and 3'	Genic enhancers;Transcr. at gene 5' and 3'	HAUS6;PLIN2	-0.0083	-0.00785	5.0422834577174e-15	2.48663752415847e-09	1.43425850226721e-14
chr17	81556615	81556857	243	2	Shelf	Genic enhancers	Genic enhancers	FAAP100;NPLOC4	-0.0106	-0.009	4.28044280711633e-15	8.92417000439279e-09	1.44009208482471e-14
chr3	46405762	46408144	2383	18	Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	CCR1;LOC102724297;CCRL2;RP11-24F11.2	0.0064	0.00241111111111111	2.34461184116252e-12	2.84333669576642e-05	1.44651298227517e-14
chr10	103668626	103669059	434	5	Shore;Island	Transcr. at gene 5' and 3';Active TSS;Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers	SH3PXD2A	0.0063	0.00492	4.67831260552366e-16	8.71537422274447e-05	1.45536411017271e-14
chr3	132658474	132659396	923	3	Shore	Weak transcription;Active TSS	Enhancers;Flanking Active TSS	UBA5;NPHP3-ACAD11;ACAD11	-0.0129	-0.0076	1.42596219635958e-10	1.25670775871421e-10	1.46423866867854e-14
chr17	42547790	42548839	1050	5	Shore;Island	Enhancers;Weak transcription	Enhancers;Weak transcription	HSD17B1;HSD17B1P1;RP11-400F19.8	-0.01	-0.00172	3.66144946877661e-11	1.92732956499207e-08	1.47611452485429e-14
chr17	78735802	78736822	1021	3	Open sea	Flanking Active TSS	Flanking Active TSS	CYTH1	-0.0055	-0.00506666666666667	1.64564693165302e-15	2.16785014712855e-06	1.48844418641089e-14
chr11	65404898	65405219	322	3	Island;Shore	Genic enhancers;Strong transcription	Strong transcription	FRMD8	0.0074	0.00373333333333333	1.42982320796087e-08	7.58289663460049e-11	1.49832409129217e-14
chr16	70579428	70580040	613	8	Open sea	Genic enhancers;Flanking Active TSS;Enhancers	Weak transcription;Enhancers;Active TSS	IL34	0.0053	0.0027875	1.07388033207422e-13	1.81575132739446e-07	1.50711874356515e-14
chr4	2798368	2798991	624	3	Open sea	Flanking Active TSS	Enhancers;Flanking Active TSS	SH3BP2	0.0057	0.00506666666666667	1.72032075773238e-15	2.0616423178635e-06	1.53531990021693e-14
chr7	103344432	103345139	708	15	Island;Shore	Active TSS	Flanking Active TSS;Active TSS	PSMC2;DNAJC2	-0.0095	-0.00287333333333333	4.51518897958453e-08	3.11278897571686e-06	1.54717053673245e-14
chr10	99732821	99733709	889	8	Shore	Active TSS	Flanking Active TSS;Active TSS	CUTC;COX15	-0.0081	-0.0029875	3.22134004330257e-07	5.51747833307534e-11	1.5502915030833e-14
chr4	8066490	8066520	31	2	Open sea	Strong transcription	Enhancers	RP11-1258F18.1;ABLIM2	-0.0103	-0.00645	1.28627875646442e-09	2.86148999999999e-15	1.55651050553051e-14
chr6	15494782	15495266	485	3	Shore	Enhancers;Flanking Active TSS	Enhancers	JARID2	-0.008	-0.00523333333333333	6.47399746856486e-10	2.61836072629069e-09	1.56560219771454e-14
chr11	126424319	126424856	538	4	Open sea	Weak transcription;Enhancers	Weak transcription	ST3GAL4;KIRREL3	0.0052	0.0032	3.24323574063095e-13	3.97230962559445e-10	1.5731087426798e-14
chr3	116051245	116051860	616	4	Open sea	Quiescent/Low	Quiescent/Low	LSAMP	-0.0072	-0.004225	4.56729944609492e-11	3.53971812391994e-11	1.63895807420933e-14
chr15	85623742	85623960	219	2	Open sea	Flanking Active TSS	Flanking Active TSS	AKAP13;RP11-815J21.3;RP11-815J21.4	-0.0074	-0.0068	1.90677593040259e-14	5.08847275876723e-11	1.65239848904625e-14
chr4	168843875	168844053	179	2	Open sea	Enhancers	Enhancers	PALLD	-0.012	-0.0086	1.52191100033305e-13	1.56947119790374e-12	1.67423605875422e-14
chr8	22564399	22567557	3159	18	Shore;Island	Transcr. at gene 5' and 3';Active TSS;Strong transcription	Genic enhancers;Active TSS;Flanking Active TSS;Strong transcription	SORBS3;RP11-582J16.3	0.0056	0.00263333333333333	3.46636195129081e-16	0.00211996339381521	1.72027561652149e-14
chr4	8006659	8006759	101	2	Open sea	Genic enhancers	Genic enhancers		-0.0078	-0.0055	1.77906738082624e-13	1.4462067984582e-12	1.77797089946788e-14
chr10	62094641	62094953	313	2	Open sea	Enhancers	Genic enhancers		-0.0095	-0.0089	5.90705037075572e-15	4.45992502827986e-09	1.79902156056938e-14
chr1	43951895	43953110	1216	6	Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	IPO13	-0.0069	-0.00476666666666667	7.49434409979001e-15	3.08204537693266e-07	1.83312510679883e-14
chr7	74542677	74542755	79	2	Open sea	Genic enhancers	Genic enhancers		-0.0072	-0.0053	7.63357027098087e-11	1.10022519999993e-14	1.83591944941581e-14
chr17	81052248	81053406	1159	7	Island;Shore	Flanking Active TSS;Enhancers	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Enhancers	BAIAP2	0.0056	0.00351428571428571	2.53193555116232e-14	7.48954760504847e-05	1.83643010719551e-14
chr17	7575816	7577507	1692	6	Shore;Shelf	Genic enhancers	Genic enhancers	SENP3;SNORD10;SNORA48;LOC100996842;EIF4A1	-0.0073	-0.00453333333333333	3.16676032980788e-14	4.64908403708818e-07	1.87417820638641e-14
chr1	114695591	114696699	1109	5	Open sea	Active TSS;Flanking Active TSS;Weak transcription	Active TSS;Flanking Active TSS;Weak transcription	AMPD1	-0.0094	-0.00536	2.58110290171216e-14	2.45157702595876e-06	1.90708323237535e-14
